BLOCK_ID,BLOCK_TIMESTAMP,TX_ID,TX_SUCCEEDED,TX_CALLER_ADDRESS,ACTION,DELEGATOR_ADDRESS,VALIDATOR_ADDRESS,AMOUNT,CURRENCY,REDELEGATE_SOURCE_VALIDATOR_ADDRESS,COMPLETION_TIME,_MSG_GROUP
4652396,11/6/2022,DFDA265C9F70CB21FDC62B679AC3CD3E21D5B7AB5CF21D30EF884DAA40666F68,TRUE,axelar1lh0qt607xkavtl3y36dfg8qk8d4j9haq65vfws,delegate,axelar1lh0qt607xkavtl3y36dfg8qk8d4j9haq65vfws,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,500000,uaxl,null,null,0
4664682,11/7/2022,081AF3544F6EA983D780C5D5BEE4597C5C28BA91F88C2882811066ADFEC6355E,TRUE,axelar1xtr8jq84cruu8scfuft04rpu7y58jd5csh3eun,delegate,axelar1xtr8jq84cruu8scfuft04rpu7y58jd5csh3eun,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,500000,uaxl,null,null,0
4666854,11/7/2022,97049CECDB61B880771292F102082A478CA48D6219DE9225FBE99B2FAE97D262,TRUE,axelar1xvr5g7cd2tw2fgdq0hlsr7vant5jkk6lxjzcrc,delegate,axelar1xvr5g7cd2tw2fgdq0hlsr7vant5jkk6lxjzcrc,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,10000000,uaxl,null,null,0
4667977,11/7/2022,F278853D9CA3EC458CFA448B4125796F472D59A9E0FAA696F2DDBD758E5B476E,TRUE,axelar1lh0qt607xkavtl3y36dfg8qk8d4j9haq65vfws,delegate,axelar1lh0qt607xkavtl3y36dfg8qk8d4j9haq65vfws,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,18256,uaxl,null,null,0
4669237,11/7/2022,7E12BD7386B2F0B3EE7DF1E955513BEEE901826AA5A34789C0D21A9F5A64559B,TRUE,axelar16zhha78knnmuzqkc39mfs2wfdjt3tre4aa2dp6,delegate,axelar16zhha78knnmuzqkc39mfs2wfdjt3tre4aa2dp6,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,100000,uaxl,null,null,0
4678986,11/8/2022,3477E128A9A55B9ADB4BAF9CBDB2628B136003A8C1D8B98997DAEAC684055676,TRUE,axelar19lywlwj2zk8d7f5zhmykk7rfezqz0hwme775fq,delegate,axelar19lywlwj2zk8d7f5zhmykk7rfezqz0hwme775fq,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,149000000,uaxl,null,null,0
4679542,11/8/2022,CC944A03D79680967A312644F03C4FF6C23C7F5A3457C795FFD031945B72894F,TRUE,axelar1g3j432cdy4z2mnj5zdrc885t6ur30v7tdgsz68,delegate,axelar1g3j432cdy4z2mnj5zdrc885t6ur30v7tdgsz68,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,35000000,uaxl,null,null,0
4694712,11/9/2022,F294AF1BEC2F6EF9B58C422AE0784480091D12FC005CE4769342BB3F40106854,TRUE,axelar18mcr6hf2ej85vh4vt2m5ym2kte675h0p97uqqm,delegate,axelar18mcr6hf2ej85vh4vt2m5ym2kte675h0p97uqqm,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,25000000,uaxl,null,null,0
4695269,11/9/2022,5B463A2DFCE87E6F8F1D6A898671A676940ADE554BD4924F3C41F7468FF999D1,TRUE,axelar1wfwqp447e2kl5hz5nyvzgurrm02tyrfvadytms,delegate,axelar1wfwqp447e2kl5hz5nyvzgurrm02tyrfvadytms,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,1000000,uaxl,null,null,0
4716991,11/10/2022,BF4531D68F976A0A62D6EC5911A6248F9D6F4BCEBE0854223EA7D804060E9EA7,TRUE,axelar1lh0qt607xkavtl3y36dfg8qk8d4j9haq65vfws,delegate,axelar1lh0qt607xkavtl3y36dfg8qk8d4j9haq65vfws,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,44888,uaxl,null,null,0
4720357,11/11/2022,BFA4542E2B7589FB21B0C12D134370FE1CE55DA13A9BD287E72B008D9A7AB861,TRUE,axelar1dkanxztmzx254gxhu03zwqsycrqlnxy06x4r4r,delegate,axelar1dkanxztmzx254gxhu03zwqsycrqlnxy06x4r4r,axelarvaloper1rqp7vvl9cjmdan44dny56qadwg590uxv8hamux,500000,uaxl,null,null,0
